"","ME","ME.se","MAE","MAE.se","RMSE","RMSE.se","Rsq","Model"
"115",-0.000187130972590719,0.000641872501078934,0.0836967207384452,0.000422470359775528,0.111172029965389,0.000132718257565418,0.511098976364811,"Wet VI"
"116",0.000579956872816423,0.000575487781577745,0.074904190819202,0.000379688912357647,0.0996757722817289,0.00010862980861567,0.606252988827232,"Dry SR"
"117",0.000488514899658303,0.000579589339622495,0.0753723917425353,0.000382821827374738,0.100385660715678,0.000110648724728469,0.601138758712164,"Dry SR+VI"
"118",-6.01774061726894e-05,0.000609520401682996,0.079168176671009,0.000403213721588298,0.105568528421657,0.000124706892952988,0.561666251732966,"Dry VI"
"119",0.00103260679938105,0.000545168776201582,0.0708283679506157,0.000360571029135419,0.0944285004390462,9.80404361215214e-05,0.646285222139469,"Dry & Wet SR"
"120",0.00116657190179028,0.000546651188611886,0.0709736735194779,0.00036187421702069,0.0946867936688199,9.86748817304194e-05,0.644366306092271,"Dry & Wet SR+VI"
"121",0.000173437337820562,0.000592614360176025,0.0771360211642981,0.000390956989417491,0.102640543127731,0.000114663394188739,0.583350627776941,"Dry & Wet VI"
"122",0.000339960535285205,0.000809318413237505,0.109432253278744,0.000505759756173309,0.140173800693053,0.000178708296642155,0.239055725346275,"PALSAR"
"123",0.000839299266736326,0.000567782407047316,0.0738481075591502,0.000374971276186905,0.098343101039722,0.000106574166416635,0.616318976878757,"PALSAR & Dry SR"
"124",0.00119798890369249,0.00058217366872635,0.0758259182277062,0.000383808436791008,0.100839192488839,0.000112316858064938,0.596672300507821,"PALSAR & Wet SR"
"125",0.00104197084060847,0.000544959932643707,0.0708021919965618,0.000360427570659104,0.0943924339456682,9.77492705211353e-05,0.646638717263317,"PALSAR & Wet+Dry SR"
"126",0.00123017635363382,0.000544603149159884,0.0706862688624865,0.000360666485174975,0.0943329096918291,9.79032551497504e-05,0.647006674879355,"All"
"127",0.000884226102886956,0.000591617201354223,0.0773872251920112,0.000387811268289177,0.102471504439631,0.000113873480848981,0.583647412159456,"Wet SR"
"128",0.000920712527735444,0.000595775669889348,0.0778257391965503,0.000391239812856384,0.103192040774587,0.000115754103247712,0.577822865256187,"Wet SR+VI"
"129",-0.000179040360289819,0.00064187706927815,0.0837085816338355,0.00042239884025534,0.111172807849131,0.000132674864880643,0.511104675341175,"Wet VI"
"130",0.000591649907200341,0.000575761196291749,0.0749238841452656,0.000379974387207798,0.0997231954078968,0.000108956752624099,0.60588423147497,"Dry SR"
"131",0.000500561172981436,0.000579841123755018,0.0754166521419258,0.000382913037056998,0.100429328355589,0.000110899839034847,0.600796823873053,"Dry SR+VI"
"132",1.6101359450876e-05,0.000609678413601072,0.0791879431096745,0.00040332306691216,0.10559588005245,0.000124751612433182,0.561486806198754,"Dry VI"
"133",0.00101307223001935,0.000545376387517995,0.0708215517709719,0.000360927597015089,0.0944642449099154,9.81523973692047e-05,0.646012546021885,"Dry & Wet SR"
"134",0.00119599018671667,0.000546650059775197,0.0709764438599953,0.000361857599724519,0.0946869651827421,9.87540340717413e-05,0.644372226281093,"Dry & Wet SR+VI"
"135",9.59548309957757e-05,0.000592665149393134,0.0771037303649295,0.00039124531912592,0.102649238100078,0.000114834112868932,0.583282501472554,"Dry & Wet VI"
"136",0.000377762204832082,0.000809442661591129,0.109455427757772,0.000505792314678826,0.140195417120356,0.000178689176417856,0.238863394542968,"PALSAR"
"137",0.000859787695848932,0.000567589995469132,0.0738177414579477,0.000374880831024919,0.0983099537522803,0.000106468829541357,0.616579016039443,"PALSAR & Dry SR"
"138",0.00107699583948446,0.000582161690873479,0.0758076361804351,0.000383898692293351,0.100835753208818,0.000112463611645011,0.59669730554731,"PALSAR & Wet SR"
"139",0.00108128036471877,0.000544665624520601,0.070798140670875,0.000360012852457123,0.0943419054396007,9.76859177464068e-05,0.647016657280743,"PALSAR & Wet+Dry SR"
"140",0.00121517853964426,0.000544463900650753,0.07063784819815,0.000360770779646671,0.0943085995567742,9.80836370667979e-05,0.647187345986683,"All"
"141",0.000935820199735029,0.000591422228600019,0.0773621769536606,0.000387684491518903,0.102438194895301,0.00011388908855476,0.583914269972329,"Wet SR"
"142",0.000997424433433819,0.000595706558492282,0.0778406825658348,0.000391041694397276,0.103180784246944,0.000115547588216248,0.577925053440441,"Wet SR+VI"
